Surf Spot,SurfID,Regional ID,Tide Info
North San Diego,,,
tamarack,4242,2144,9410230
terra mar point,4775,2144,9410230
ponto north,128083,2144,9410230
ponto jetties,4773,2144,9410230
grandview,4771,2144,9410230
beacons,4772,2144,9410230
moonlight beach,4770,2144,9410230
d street,4792,2144,9410230
swami's,4789,2144,9410230
pipes,4790,2144,9410230
san elijo campground overview,4791,2144,9410230
cardiff reef overview,4786,2144,9410230
cardiff reef south,139590,2144,9410230
george's,139591,2144,9410230
sea-side reef,4787,2144,9410230
del mar rivermouth,4785,2144,9410230
25th street,139340,2144,9410230
del mar beachbreak,4784,2144,9410230
15th street,4783,2144,9410230
,,,
South San Diego,,,
Torrey Pines State Beach,107951,2953,9410230
Blacks,4245,2953,9410230
Scripps,4246,2953,9410230
La Jolla Shores,4812,2953,9410230
Horseshoe,4247,2953,9410230
Windandsea,4248,2953,9410230
Birdrock,4249,2953,9410230
PB Point,4803,2953,9410230
Old Man's at Tourmaline,4804,2953,9410191
Pacific Beach,4250,2953,9410191
Mission Beach,4252,2953,9410191
Ocean Beach,4253,2953,9410191
Ocean Beach Pier,149159,2953,9410191
Sunset Cliffs,4254,2953,9410120
Coronado Beach,4816,2953,9410120
Imperial Pier north side,4255,2953,9410120
Imperial Pier south side,4256,2953,9410120
Tijuana Slough,4814,2953,9410120
,,,
South Los Angelos,,,
Venice Beach,4211,2951,9410660
Venice Breakwater,146850,2951,9410660
Dockweiler State Beach,4895,2951,9410660
Shitpipe,4896,2951,9410660
El Porto North,142785,2951,9410660
El Porto,4900,2951,9410660
Manhattan Beach,4901,2951,9410660
Hermosa Beach,4902,2951,9410840
Redondo Breakwater,4912,2951,9410840
Sapphire Street,139023,2951,9410840
Torrance Beach,4910,2951,9410650
PV Cove,4936,2951,9410650
Lunada Bay,4935,2951,9410650
Cabrillo Beach,4931,2951,9410650
,,,
North Los Angelos,,,
County Line,4202,2142,9410840
Zuma,4949,2142,9410840
Point Dume,4947,2142,9410840
Latigo Point,4944,2142,9410840
Malibu Second Point,4209,2142,9410840
Malibu 3rd Point,4209,2142,9410840
Malibu 1st Point,119811,2142,9410840
Topanga Beach,4210,2142,9410840
Chart House,4940,2142,9410840
Sunset Point,4883,2142,9410840
Sunset Beach CA,119813,2142,9410840
